model,readout,region,n_components,fold,r2
linear-linear,mlp,M1,10,0,0.5413281830780067
linear-linear,mlp,M1,10,1,0.6352787123343769
linear-linear,mlp,M1,10,2,0.6297399462980021
linear-linear,mlp,M1,10,3,0.6419838847695709
linear-linear,mlp,M1,10,4,0.5316257921952946
linear-linear,mlp,M1,16,0,0.7193694731391026
linear-linear,mlp,M1,16,1,0.7426120847609904
linear-linear,mlp,M1,16,2,0.7318485999801535
linear-linear,mlp,M1,16,3,0.7644662676743512
linear-linear,mlp,M1,16,4,0.6840400284466884
linear-linear,mlp,M1,26,0,0.7515705674670934
linear-linear,mlp,M1,26,1,0.7893485097231236
linear-linear,mlp,M1,26,2,0.7770217612822701
linear-linear,mlp,M1,26,3,0.8115467272658244
linear-linear,mlp,M1,26,4,0.7328364238844264
linear-linear,mlp,M1,36,0,0.773566198144979
linear-linear,mlp,M1,36,1,0.8081882795738717
linear-linear,mlp,M1,36,2,0.7921047566915288
linear-linear,mlp,M1,36,3,0.8238192316673917
linear-linear,mlp,M1,36,4,0.7551517498506013
linear-linear,mlp,M1,46,0,0.7688616402769733
linear-linear,mlp,M1,46,1,0.8192655164678508
linear-linear,mlp,M1,46,2,0.7889314122765633
linear-linear,mlp,M1,46,3,0.8270625428724643
linear-linear,mlp,M1,46,4,0.7681906321467151
linear-linear,mlp,M1,50,0,0.7700795626721089
linear-linear,mlp,M1,50,1,0.8184567402775077
linear-linear,mlp,M1,50,2,0.7902842182015436
linear-linear,mlp,M1,50,3,0.8298928365278506
linear-linear,mlp,M1,50,4,0.7615719926499992
linear-linear,mlp,SMA,10,0,0.44781215295009674
linear-linear,mlp,SMA,10,1,0.537615283394898
linear-linear,mlp,SMA,10,2,0.5893616892783018
linear-linear,mlp,SMA,10,3,0.467884998239068
linear-linear,mlp,SMA,10,4,0.4549348431185031
linear-linear,mlp,SMA,16,0,0.5969673496139873
linear-linear,mlp,SMA,16,1,0.6334432500922553
linear-linear,mlp,SMA,16,2,0.6937019253554789
linear-linear,mlp,SMA,16,3,0.6039523232214079
linear-linear,mlp,SMA,16,4,0.5505308970621692
linear-linear,mlp,SMA,26,0,0.6394841047274251
linear-linear,mlp,SMA,26,1,0.6640591934478108
linear-linear,mlp,SMA,26,2,0.732491680527479
linear-linear,mlp,SMA,26,3,0.6375336816874099
linear-linear,mlp,SMA,26,4,0.5944351160382755
linear-linear,mlp,SMA,36,0,0.6474102908624699
linear-linear,mlp,SMA,36,1,0.6658623224202103
linear-linear,mlp,SMA,36,2,0.7414608839664669
linear-linear,mlp,SMA,36,3,0.6503205096016551
linear-linear,mlp,SMA,36,4,0.5919390605513734
linear-linear,mlp,SMA,46,0,0.6400485218431122
